threshold,precision,recall,f1,customers_contacted,expected_saved_revenue,total_contact_cost,net_value
0.05,0.341,0.971,0.504,1066,8348.61,15990.0,-7641.39
0.060000000000000005,0.349,0.971,0.513,1040,8325.5,15600.0,-7274.5
0.07,0.357,0.971,0.522,1016,8293.23,15240.0,-6946.77
0.08000000000000002,0.365,0.96,0.529,983,8248.2,14745.0,-6496.8
0.09000000000000001,0.373,0.952,0.536,955,8200.06,14325.0,-6124.94
0.1,0.381,0.944,0.543,927,8154.48,13905.0,-5750.52
0.11000000000000001,0.39,0.944,0.552,905,8114.51,13575.0,-5460.49
0.12000000000000002,0.399,0.944,0.561,885,8070.45,13275.0,-5204.55
0.13,0.405,0.939,0.566,866,8023.18,12990.0,-4966.82
0.14,0.414,0.933,0.574,843,7969.02,12645.0,-4675.98
0.15000000000000002,0.421,0.925,0.579,821,7918.93,12315.0,-4396.07
0.16000000000000003,0.429,0.909,0.583,793,7844.79,11895.0,-4050.21
0.17000000000000004,0.432,0.896,0.583,775,7786.02,11625.0,-3838.98
0.18000000000000002,0.442,0.89,0.591,753,7709.37,11295.0,-3585.63
0.19000000000000003,0.45,0.885,0.597,735,7633.19,11025.0,-3391.81
0.20000000000000004,0.457,0.877,0.601,717,7552.42,10755.0,-3202.58
0.21000000000000002,0.463,0.864,0.603,698,7475.51,10470.0,-2994.49
0.22000000000000003,0.464,0.858,0.602,692,7443.83,10380.0,-2936.17
0.23000000000000004,0.466,0.848,0.602,680,7384.41,10200.0,-2815.59
0.24000000000000005,0.477,0.845,0.61,662,7283.24,9930.0,-2646.76
0.25000000000000006,0.485,0.84,0.615,647,7201.44,9705.0,-2503.56
0.26000000000000006,0.493,0.832,0.619,631,7111.87,9465.0,-2353.13
0.27,0.493,0.81,0.613,615,7026.79,9225.0,-2198.21
0.28,0.501,0.799,0.616,597,6934.95,8955.0,-2020.05
0.29000000000000004,0.511,0.791,0.621,579,6802.9,8685.0,-1882.1
0.30000000000000004,0.519,0.789,0.626,568,6756.95,8520.0,-1763.05
0.31000000000000005,0.527,0.781,0.629,554,6684.27,8310.0,-1625.73
0.32000000000000006,0.536,0.751,0.626,524,6523.14,7860.0,-1336.86
0.33000000000000007,0.539,0.733,0.621,508,6401.83,7620.0,-1218.17
0.3400000000000001,0.544,0.725,0.622,498,6338.09,7470.0,-1131.91
0.3500000000000001,0.554,0.717,0.625,484,6228.73,7260.0,-1031.27
